"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3463","test_admin_gate","tests.e2e","2026-07-08","passed","2026-07-08","TestAdmin","test_medicare","",""
"","367","test_sitemap","tests.e2e","2026-07-08","passed","2026-07-08","TestSEO","test_medicare","",""
"","1952","test_login_page","tests.e2e","2026-07-08","passed","2026-07-08","TestAuth","test_medicare","",""
"","6017","test_checkout","tests.e2e","2026-07-08","passed","2026-07-08","TestCart","test_medicare","",""
"","2523","test_cart_page","tests.e2e","2026-07-08","passed","2026-07-08","TestCart","test_medicare","",""
"","414","test_meta_tags","tests.e2e","2026-07-08","passed","2026-07-08","TestSEO","test_medicare","",""
"","2221","test_about","tests.e2e","2026-07-08","passed","2026-07-08","TestInfoPages","test_medicare","",""
"","3509","test_tablet","tests.e2e","2026-07-08","passed","2026-07-08","TestResponsive","test_medicare","",""
"","5000","test_home_loads","tests.e2e","2026-07-08","passed","2026-07-08","TestHome","test_medicare","",""
"","3200","test_product_search","tests.e2e","2026-07-08","passed","2026-07-08","TestProducts","test_medicare","",""
"","9","test_robots","tests.e2e","2026-07-08","passed","2026-07-08","TestSEO","test_medicare","",""
"","1795","test_privacy","tests.e2e","2026-07-08","passed","2026-07-08","TestInfoPages","test_medicare","",""
"","2070","test_contact","tests.e2e","2026-07-08","passed","2026-07-08","TestInfoPages","test_medicare","",""
"","3925","test_mobile","tests.e2e","2026-07-08","passed","2026-07-08","TestResponsive","test_medicare","",""
"","2693","test_track","tests.e2e","2026-07-08","passed","2026-07-08","TestInfoPages","test_medicare","",""
"","3324","test_products_list","tests.e2e","2026-07-08","passed","2026-07-08","TestProducts","test_medicare","",""
"","2944","test_account_gate","tests.e2e","2026-07-08","passed","2026-07-08","TestAuth","test_medicare","",""
"","377","test_navigation","tests.e2e","2026-07-08","passed","2026-07-08","TestHome","test_medicare","",""
"","4234","test_product_detail","tests.e2e","2026-07-08","passed","2026-07-08","TestProducts","test_medicare","",""
"","2533","test_refund","tests.e2e","2026-07-08","passed","2026-07-08","TestInfoPages","test_medicare","",""
